PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.14-33-45,0,RadarChart,none,0,7.2002077,4.0,1.7334445
p2017-11-19.14-33-45,0,RadarChart,none,1,15.757036,16.0,-1.4423643
p2017-11-19.14-33-45,0,RadarChart,none,2,8.777694,8.0,-0.14769147
p2017-11-19.14-33-45,0,RadarChart,none,3,4.256591,12.0,2.976072
p2017-11-19.14-33-45,0,RadarChart,none,4,10.952633,8.0,1.6218212
p2017-11-19.14-33-45,1,BarChart,none,0,55.020775,59.0,2.0371099
p2017-11-19.14-33-45,1,BarChart,none,1,73.45116,78.0,2.2246094
p2017-11-19.14-33-45,1,BarChart,none,2,76.57305,80.0,1.8286107
p2017-11-19.14-33-45,1,BarChart,none,3,85.938095,84.0,1.0448103
p2017-11-19.14-33-45,1,BarChart,none,4,87.241646,87.0,-1.447541
p2017-11-19.14-33-45,2,ScatterPlot,none,0,2.4076228,2.5,-2.2017276
p2017-11-19.14-33-45,2,ScatterPlot,none,1,3.803399,3.9,-2.1739638
p2017-11-19.14-33-45,2,ScatterPlot,none,2,4.2948194,4.1,-1.6446705
p2017-11-19.14-33-45,2,ScatterPlot,none,3,4.3695703,4.3,-2.3616383
p2017-11-19.14-33-45,2,ScatterPlot,none,4,4.5575886,4.4,-1.8232254
